"","portal","processo","edital","cdo","orgao","id","link_repositorio_edital","tipo","orgao_sigla","descricao_do_objeto","entrega_de_proposta","abertura","situacao","data_abertura","data_entrega_proposta","base_final","final_url_edital","link_completo_para_editais"
"1","1","26829","0001/2022","2729","Agência de Regulação de Serviços Públicos de Santa Catarina - ARESC","00012022_2729","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26829&cdo=2729&edital=0001/2022","Pregão Eletrônico             (Compras)","ARESC","Aquisição de veículos automotor tipo utilitário 4X4, descaracterizados, com adaptações para uso como viaturas de fiscalização da ARESC.","24/02/2022 14:30:00","15/02/2022 14:00:00","PUBLICADO RESULTADO LICITAÇÃO / EXTRATO ATA RP","15/02/2022","24/02/2022",NA,"docsb.asp?orgao=ARESC&anexo=26829-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=ARESC&anexo=26829-02-1.pdf"
"2","1","26604","0001/2022","4101","Casa Civil - CC","00012022_4101","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26604&cdo=4101&edital=0001/2022","Pregão Eletrônico             (Compras)","CC","aquisição de rádios comunicadores digitais portáteis e fones de ouvido","20/01/2022 08:00:00","09/02/2022 14:00:00","PUBLICADO RESULTADO LICITAÇÃO / EXTRATO ATA RP","09/02/2022","20/01/2022",NA,"docsb.asp?orgao=CC&anexo=26604-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=CC&anexo=26604-02-1.pdf"
"3","1","26532","0001/2022","5501","Defesa Cívil - DC","00012022_5501","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26532&cdo=5501&edital=0001/2022","Pregão Eletrônico             (Serviços)","DC","Contratação de empresa especializada em serviços de engenharia para o fornecimento de kit de serviços emergenciais para a Defesa Civil do Estado de Santa Catarina","11/01/2022 08:00:00","21/01/2022 13:45:00","HOMOLOGADO","21/01/2022","11/01/2022",NA,"docsb.asp?orgao=DC&anexo=26532-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=DC&anexo=26532-02-1.pdf"
"4","1","26932","0001/2022","1501","Defensoria Pública do Estado de Santa Catarina - DPE","00012022_1501","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26932&cdo=1501&edital=0001/2022","Pregão Eletrônico             (Compras)","DPE","Contratação de empresa especializada para compra de monitores para atender as necessidades da Defensoria Pública do Estado de Santa Catarina.","25/02/2022 09:00:00","11/03/2022 09:20:00","HOMOLOGADO","11/03/2022","25/02/2022",NA,"docsb.asp?orgao=DPE&anexo=26932-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=DPE&anexo=26932-02-1.pdf"
"5","2","","0001/2022","9","Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina - EPAGRI","00012022_9","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=9&edital=0001/2022","Pregão Eletrônico(Serviços)","EPAGRI","exclusivo me/epp contratação de empresa para realização de viagens técnicas para a epagri  gerência regional de concórdia e gerência regional de campos novos/sc. atenção: é vedada a identificação do licitante no momento da inserção da proposta no sistema licitações-e (vide item 11.7 deste edital). não incluir documentação com identificação do lici...","07/03/2022 09:00:00","08/03/2022 09:00:00","HOMOLOGADO","08/03/2022","07/03/2022",NA,"docsb.asp?orgao=EPAGRI&anexo=0001_2022PE.doc","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=EPAGRI&anexo=0001_2022PE.doc"
"6","1","27041","0001/2022","4524","Fundação de Amparo á Pesquisa  e Inovação do Estado de Santa Catarina - FAPESC","00012022_4524","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=27041&cdo=4524&edital=0001/2022","Pregão Eletrônico","FAPESC","Contratação de Empresa para o Fornecimento de Aparelhos de Ar-Condicionado, Manutenção Preventiva e Corretiva, Instalação e Desinstalação, com fornecimento de peças para FAPESC","18/03/2022 14:00:00","05/04/2022 14:15:00","EM RECEBIMENTO DE PROPOSTA E-LIC","05/04/2022","18/03/2022",NA,"docsb.asp?orgao=FAPESC&anexo=27041-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=FAPESC&anexo=27041-02-1.pdf"
"7","1","26791","0001/2022","4521","Fundação Catarinense de Educação Especial - FCEE","00012022_4521","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26791&cdo=4521&edital=0001/2022","Pregão Eletrônico             (Compras)","FCEE","AQUISIÇÃO DE CARGA DE GÁS LIQUEFEITO DE PETRÓLEO  GLP PARA BOTIJÕES DE 45 KG E DE 13 KG PARA O CAMPUS DA FCEE.","08/02/2022 13:30:00","21/02/2022 13:45:00","PUBLICADO RESULTADO LICITAÇÃO / EXTRATO ATA RP","21/02/2022","08/02/2022",NA,"docsb.asp?orgao=FCEE&anexo=26791-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=FCEE&anexo=26791-02-1.pdf"
"8","2","","0001/2022","2006","Fundação Catarinense de Esporte - FCE","00012022_2006","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=2006&edital=0001/2022","Edital de Chamamento(Serviços)","FESPORTE","Chamamento Público para seleção de entidades sem fins lucrativos para celebração de acordo de cooperação para atuarem como unidades executoras do Projeto de Iniciação Desportiva Escolar  PIDE, a ser desenvolvido pela FESPORTE em parceria com Instituições de Ensino Superior previamente cadastradas","11/04/2022 23:59:00","11/04/2022 23:59:00","EM RECEBIMENTO DE PROPOSTA","11/04/2022","11/04/2022",NA,"docsb.asp?orgao=FESPORTE&anexo=EDITAL(20).pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=FESPORTE&anexo=EDITAL(20).pdf"
"9","1","26547","0001/2022","1605","Polícia Civil - PC","00012022_1605","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26547&cdo=1605&edital=0001/2022","Pregão Eletrônico             (Compras)","PC","Aquisição de plataforma (rampa) elevatória, elétro-hidráulica, com capacidade mínima de 2.000 Kg, instalada, para atender as necessidades do Almoxarifado da Polícia Civil.","14/01/2022 14:00:00","03/02/2022 14:00:00","PUBLICADO RESULTADO LICITAÇÃO / EXTRATO ATA RP","03/02/2022","14/01/2022",NA,"docsb.asp?orgao=PC&anexo=26547-02-1.doc","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PC&anexo=26547-02-1.doc"
"10","1","27031","0001/2022","201","Procuradoria Geral do Estado de Santa Catarina - PGE","00012022_201","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=27031&cdo=201&edital=0001/2022","Pregão Eletrônico             (Serviços)","PGE","Contratação de serviços de consultoria estratégica em governança corporativa e inovação, no âmbito da Procuradoria-Geral do Estado de Santa Catarina.","16/03/2022 08:00:00","28/03/2022 13:15:00","EM RECEBIMENTO DE PROPOSTA E-LIC","28/03/2022","16/03/2022",NA,"docsb.asp?orgao=PGE&anexo=27031-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PGE&anexo=27031-02-1.pdf"
